huwplace	lat	lng	all_bg	bedu_bg	bedu_pct	dist_du_be	be_bg	be_pct	dist_be	du_bg	du_pct	dist_du	be_or_du
Nuenen, Gerwen en Nederwetten	51.47000	5.552780	4662	51	1.09	19.47	18	0.39	19.47	33	0.71	40.27	du
Nuland	51.72583	5.434720	2158	3	0.14	35.73	1	0.05	37.50	2	0.09	35.73	du
Oeffelt	51.69833	5.933330	1886	63	3.34	4.67	1	0.05	53.34	62	3.29	4.67	du
Oerle	51.42255	5.371630	856	6	0.70	15.84	6	0.70	15.84	0	0.00	53.45	be
Oijen en Teeffelen	51.82417	5.502780	1348	4	0.30	32.02	1	0.07	48.95	3	0.22	32.02	du
Oirschot	51.50500	5.313890	6623	61	0.92	16.50	43	0.65	16.50	18	0.27	51.30	be
Oisterwijk	51.57917	5.188890	5772	89	1.54	14.21	49	0.85	14.21	40	0.69	55.73	be
Oost-, West- en Middelbeers	51.47016	5.249400	1958	12	0.61	11.04	12	0.61	11.04	0	0.00	57.13	be
Oosterhout	51.64500	4.859720	18380	261	1.42	16.60	163	0.89	16.60	98	0.53	76.18	be
Oploo, Sint Anthonis en Ledeacker	51.60833	5.873610	3484	23	0.66	13.28	1	0.03	42.74	22	0.63	13.28	du
Oss	51.76500	5.518060	13516	392	2.90	29.93	36	0.27	44.58	356	2.63	29.93	du
Ossendrecht	51.39417	4.326390	4519	452	10.00	2.17	417	9.23	2.17	35	0.77	118.90	be
Oud en Nieuw Gastel	51.58420	4.465300	7477	85	1.14	11.88	73	0.98	11.88	12	0.16	104.17	be
Oudenbosch	51.58833	4.534720	6019	78	1.30	11.79	59	0.98	11.79	19	0.32	99.37	be
Oudheusden	51.72333	5.140280	1252	3	0.24	27.21	2	0.16	27.21	1	0.08	55.98	be
Princenhage	51.57632	4.739060	13674	251	1.84	8.28	202	1.48	8.28	49	0.36	85.79	be
Putte	51.36000	4.395830	2036	531	26.08	0.46	518	25.44	0.46	13	0.64	115.73	be
Raamsdonk	51.68750	4.908330	8317	57	0.69	22.23	31	0.37	22.23	26	0.31	72.23	be
Ravenstein	51.79667	5.650000	1714	47	2.74	21.45	7	0.41	53.52	40	2.33	21.45	du
Reek	51.74583	5.681940	1646	15	0.91	18.61	1	0.06	51.39	14	0.85	18.61	du
Reusel	51.38047	5.157900	2008	118	5.88	3.59	114	5.68	3.59	4	0.20	67.96	be
Riethoven	51.35417	5.387500	1156	27	2.34	9.12	27	2.34	9.12	0	0.00	56.68	be
Rijsbergen	51.51750	4.697220	2944	134	4.55	4.40	129	4.38	4.40	5	0.17	90.23	be
Rijswijk	51.79750	5.025000	1044	1	0.10	34.50	0	0.00	34.50	1	0.10	64.02	du
Roosendaal	51.53083	4.465280	19915	865	4.34	5.96	779	3.91	5.96	86	0.43	105.37	be
Rosmalen	51.71667	5.365280	5128	25	0.49	33.71	9	0.18	33.71	16	0.31	40.58	du
Rucphen	51.52357	4.565860	8500	145	1.71	4.97	138	1.62	4.97	7	0.08	98.81	be
Sambeek	51.63583	5.966670	2396	40	1.67	6.38	5	0.21	49.09	35	1.46	6.38	du
Schaijk	51.74583	5.631940	2948	12	0.41	22.05	2	0.07	48.91	10	0.34	22.05	du
Schijndel	51.62250	5.431940	9229	45	0.49	29.67	11	0.12	29.67	34	0.37	38.30	du
Sint-Michielsgestel	51.66076	5.378510	5692	30	0.53	29.56	15	0.26	29.56	15	0.26	40.66	du
Sint-Oedenrode	51.56750	5.459720	7768	54	0.70	28.47	23	0.30	28.47	31	0.40	39.09	du
Soerendonk	51.30083	5.575000	1372	49	3.57	3.86	45	3.28	3.86	4	0.29	49.51	be
Someren	51.38500	5.711110	5702	70	1.23	16.85	21	0.37	16.85	49	0.86	36.23	du
Son en Breugel	51.51136	5.492820	3200	25	0.78	23.59	9	0.28	23.59	16	0.50	40.67	du
Sprang-Capelle	51.67000	5.048560	4340	16	0.37	20.34	9	0.21	20.34	7	0.16	62.88	be
Standdaarbuiten	51.61333	4.513890	2228	9	0.40	14.66	6	0.27	14.66	3	0.13	100.30	be
Steenbergen	51.58417	4.319440	12708	141	1.11	15.32	113	0.89	15.32	28	0.22	114.09	be
Stiphout	51.48625	5.617980	1336	3	0.22	22.39	0	0.00	22.39	3	0.22	35.56	du
Stratum	51.42253	5.499810	4096	108	2.64	13.73	77	1.88	13.73	31	0.76	46.27	be
Strijp	51.50083	5.629170	2930	72	2.46	24.18	51	1.74	24.18	21	0.72	33.98	be
Terheijden	51.64333	4.754170	6046	55	0.91	15.44	35	0.58	15.44	20	0.33	83.40	be
Teteringen	51.60917	4.820830	4392	112	2.55	12.00	86	1.96	12.00	26	0.59	79.52	be
Tilburg	51.55551	5.091300	65039	1610	2.48	8.49	978	1.50	8.49	632	0.97	62.97	be
Tongelre	51.44889	5.519780	1768	17	0.96	16.77	12	0.68	16.77	5	0.28	43.50	be
Uden	51.66083	5.619440	10670	369	3.46	24.68	305	2.86	41.18	64	0.60	24.68	be
Udenhout	51.60917	5.143060	4296	26	0.61	15.44	17	0.40	15.44	9	0.21	57.81	be
Valkenswaard	51.35083	5.459720	5424	451	8.31	6.14	401	7.39	6.14	50	0.92	52.55	be
